;D;F;E;M;RW;WR;GuP;TU;IDAF
100;0.24548304541382968;0.25070307618577586;0.1699769894827383;0.2608637194682699;0.2691064100236878;0.26678265981232124;0.20201912566665947;0.1749068557759579;0.36540219783668104
103;0.4087478467160841;0.08518379233988556;0.306365206170697;0.4038805462816712;0.40592533069032355;0.23544260208635687;0.29211287364071203;0.3295239185602206;
104;0.26995133417992045;0.123030399712733;0.09690029006513333;0.4254720639838554;0.45295479699940766;0.3113267658884739;0.2036207062113019;0.2584401876922357;0.3925120617995257
114;0.2037483343808272;0.030713454652016123;0.04284731321612148;0.3919445342611775;0.26521178536814805;0.2917700178391805;0.18240173638669094;0.213706698829396;0.41116320527439365
117;0.14539916798330538;0.14358798833750766;0.0889630194343503;0.2799241502573618;0.35815278278671875;0.22585639298399546;0.27423643632848516;0.2033458950751559;0.24736319650613772
118;0.3105591288236305;0.14415889849249217;0.11080091155490206;0.5196489107323481;0.4368486919605759;0.25355653142369783;0.34797613871384286;0.1900921926826035;
120;0.22831398340712633;0.13304428321920003;0.21099900720599293;0.35414735779817846;0.2933755470327165;0.2791785848846886;0.22440978822610128;0.3168474193024141;0.4999149228904572
122;0.22379272606583173;0.24748611882433183;0.21489587362629192;0.35540407669920404;0.4305022491602105;0.4070063865906801;0.1743152945933271;0.21448564431159028;0.48077624791956114
123;0.23636457884203077;0.3415175221874983;0.1234956764233305;0.2345586660793613;0.39855469931922904;0.37205553546072495;0.18208809652868205;0.21170781337835176;0.49358264398925544
133;0.33675661850648314;0.20125649028034592;0.2966281137047599;0.30373604005114363;0.35395927808855654;0.2594107615209957;0.16849176421548215;0.31951650812959254;0.47576118550978225
150;0.32155292343130387;0.13437955042156347;0.15752465940495097;0.18717198730377105;0.27835091381960003;0.2762510981445164;0.19235677135761944;0.19413011731785404;0.38132927977025777
151;0.2840421557920794;0.2545759144087884;0.15106909289402076;0.432643309574867;0.420582463292017;0.23930292308843876;0.13059339432941283;0.29459077222085833;0.450097757014238
152;0.34591608295477694;0.10993000873035226;0.07980538624275678;0.2292294453394403;0.36991146473449493;0.4143304576935308;0.2815546160739324;0.4495035973357822;0.46580152778447464
153;0.37576371572481415;0.21777290031515315;0.15954770127599113;0.332153138372694;0.45248286368101187;0.36868013308113784;0.2841750556960962;0.28697922748192256;0.44271336672458844
183;0.17905848603559654;0.19830792659626084;0.04641015689883962;0.2509176371440569;0.3020003881198794;0.32930544381282045;0.18529985349403158;0.2632009703461191;0.2974883025197328
214;0.13255418665984448;0.12402427303878528;0.06541504421473664;0.16079339859772646;0.38563572280875463;0.3459390086867277;0.3820064510213975;0.3825033270519155;0.359690196442475
226;0.11788537957701928;0.28895951897016914;0.22344862203064217;0.38158221288990307;0.3357495784525779;0.278268482707251;0.1646640701069368;0.3968807027425832;
226a;0.21961901867564024;0.0753123140299904;0.21450171532805073;0.4088145610874582;0.3269518240719878;0.31677087318181146;0.11838950923048952;0.3130940429387119;0.3319639796201857
226b;0.2276502397101291;0.16707860316442943;0.1634696895480802;0.4137302576326075;0.3700257477576517;0.19096897796769896;0.0877211563156816;0.2457932225189233;0.37320371089871657
242;0.29256755376101506;0.11227024853458774;0.33140335483806455;0.2408631605309495;0.2899574709276046;0.2367181292423597;0.13128689499935345;0.41593095632097465;0.3466975883814161
254;0.2542561750909442;0.13809262697936125;0.28168295361159523;0.16428209450649753;0.41027020783867485;0.19593593861346267;0.19184102422346144;0.3224017393925018;0.43222660108708527
304;0.06139463718897894;0.1987912363432504;-0.000885470270538507;0.26441961263962593;0.1378135643128664;0.15896928349220374;0.0822921341883142;0.1618395578409313;
305;0.20050897148426497;0.2888153442237416;0.12397218285156453;0.33485888579981593;0.2607282596772693;0.3161081384091725;0.2222516355945937;-0.12837621902372548;
306;0.23331965675772257;0.19778166697858796;0.21950856633184537;0.2278080367039515;0.2869470468470959;0.2651005293421268;0.20863683570331726;0.21128571582752556;0.48870401542279424
326;0.34697425312353314;0.20703990782482393;0.11080246813080888;0.28713891517029677;0.3588783481933368;0.37689375132910347;0.22937308970747927;0.3871557645855208;0.35156974581672024
335;0.20518568615906044;0.33117712392283266;0.023439310516128242;0.5692714139640603;0.40642759167011033;0.43897065052566736;0.027272964533128975;0.3674188712776092;
403;0.219198539520535;0.0048006305348558855;0.25138054351983524;0.38128616299833806;0.27413783618419285;0.21786844582540332;0.20745699420167854;0.3098197303376005;0.3303754606477014
404;0.23235720286577127;0.11513290432724743;0.2594340568948612;0.42575152722980597;0.27235383208526287;0.20857842901660745;0.13977612027239478;0.2684204352537402;0.30873790578986454
411;0.2061478936377176;0.15408734574524868;0.23585501015475802;0.4898955682081437;0.3303107547087901;0.3325858107745827;0.14002178721601768;0.29933264730526044;0.4282282931872034
426;0.2185853963370401;0.22169990860775665;0.15216906536373054;0.39565924427575033;0.3430710802141381;0.43156270056218815;0.1687884008638578;0.361435200437654;0.3295019858674355
431;0.300618457805662;0.11743603760409184;0.09844079813270344;0.08096339783712303;0.3292918287774274;0.15867418210034082;0.15620180564103725;0.22900610942412655;0.3891065873853763
