names_hash;D;F;E;M;RW;WR;GuP;TU;IDAF
31c7f96a1e96175d;4.5;4.0;5.0;4.5;4.0;4.0;4.5;4.5;5.0
f95c64d6e188244b;4.0;4.5;3.5;5.5;4.5;4.5;4.5;4.0;4.5
093d9c3ca8212eff;4.0;4.0;5.0;5.5;4.5;4.5;5.0;5.0;5.0
ee90684a9e128683;4.0;3.5;5.0;5.5;4.5;4.0;4.5;5.0;5.0
6ae64c86e931cabf;4.5;5.0;5.0;5.0;5.0;4.0;4.0;4.5;5.0
6daf5c6e9384b12f;4.5;4.0;4.5;4.5;4.0;4.0;5.0;4.5;5.0
6bf6aba574f5a385;5.0;3.5;5.0;5.0;4.5;4.0;4.0;5.0;5.5
46158e983425ef93;5.0;5.5;5.5;4.5;3.5;3.5;5.0;4.5;4.5
d07cee4871d693e9;5.5;5.0;5.5;5.5;5.5;4.5;5.5;5.5;6.0
651fd7dc2fd1fc0d;5.0;5.5;5.5;5.5;6.0;5.5;4.5;5.0;5.5
2b27f5a7a52fc136;4.5;3.5;4.5;5.0;4.5;4.0;4.5;5.0;6.0
e7f41ad7181ea424;5.5;4.0;4.5;6.0;4.5;4.5;5.0;5.5;4.5
ad7b1d4ac6875821;5.0;4.5;4.5;4.0;4.5;4.0;4.5;4.5;4.5
1b2dee2f27f672a0;5.0;4.0;5.5;5.5;5.5;5.0;5.0;5.0;5.0
f766156e83cc9ed7;5.0;4.5;5.0;4.5;5.0;5.0;4.5;5.0;6.0
9374f74bccc287f1;4.5;4.5;5.0;5.0;5.5;4.5;5.0;6.0;5.5
2f7a5095a28e1ddd;4.0;5.5;5.0;5.0;5.5;5.0;4.5;5.5;5.5
7f7b35fa32d57bbf;5.5;5.0;5.0;4.5;5.5;5.5;5.5;6.0;5.5
8e8f88c0d663728d;4.5;4.5;5.5;5.0;4.5;5.0;4.5;5.5;5.0
184d6859b5880517;4.5;4.5;4.5;4.0;5.0;4.0;4.5;6.0;4.5
bec360147eabc514;4.0;5.0;5.5;4.5;5.0;4.0;4.0;4.5;5.0
